ticker,caller,low,high,Open,close,volume,timestamp
BTC-USD,main,90925.17,91440.8,91366.82,91084.04,186.38143459,2026-01-13 01:00:00+00:00
BTC-USD,main,91007.01,91277.99,91084.04,91018.04,127.10324152,2026-01-13 02:00:00+00:00
BTC-USD,main,91012.0,91357.99,91018.04,91310.01,149.71524655,2026-01-13 03:00:00+00:00
BTC-USD,main,91236.0,91565.0,91310.01,91406.77,114.35782702,2026-01-13 04:00:00+00:00
BTC-USD,main,91375.83,92156.93,91407.63,91820.24,322.4740942,2026-01-13 05:00:00+00:00
BTC-USD,main,91694.21,92188.0,91818.0,92085.12,235.90605527,2026-01-13 06:00:00+00:00
BTC-USD,main,91773.73,92111.4,92085.13,91837.19,142.33513753,2026-01-13 07:00:00+00:00
BTC-USD,main,91831.08,92163.81,91842.01,92076.41,138.64020344,2026-01-13 08:00:00+00:00
BTC-USD,main,91854.2,92590.0,92076.41,92186.3,508.57197504,2026-01-13 09:00:00+00:00
BTC-USD,main,91928.7,92259.89,92186.3,92040.2,113.07207045,2026-01-13 10:00:00+00:00
BTC-USD,main,91860.63,92166.3,92040.2,91895.69,144.49287268,2026-01-13 11:00:00+00:00
BTC-USD,main,91810.88,92058.55,91900.0,92019.13,104.43545894,2026-01-13 12:00:00+00:00
BTC-USD,main,91882.27,92539.93,92019.13,91973.55,541.71139114,2026-01-13 13:00:00+00:00
BTC-USD,main,91681.16,92851.88,91970.71,92394.72,1366.37009069,2026-01-13 14:00:00+00:00
BTC-USD,main,92026.0,93432.69,92394.71,93425.99,1810.30896169,2026-01-13 15:00:00+00:00
BTC-USD,main,93037.87,93754.0,93425.94,93384.11,2076.75497981,2026-01-13 16:00:00+00:00
BTC-USD,main,93063.57,93490.0,93384.11,93190.12,732.37921553,2026-01-13 17:00:00+00:00
BTC-USD,main,93140.0,93849.99,93190.06,93606.17,1104.30893176,2026-01-13 18:00:00+00:00
BTC-USD,main,93440.01,94242.89,93606.18,94230.54,1449.73400303,2026-01-13 19:00:00+00:00
BTC-USD,main,94143.34,94500.0,94232.94,94411.91,2096.13111292,2026-01-13 20:00:00+00:00
BTC-USD,main,93926.09,94500.0,94415.71,94090.01,1294.53865904,2026-01-13 21:00:00+00:00
BTC-USD,main,94085.64,96250.0,94090.0,95737.5,1568.40171062,2026-01-13 22:00:00+00:00
BTC-USD,main,95032.51,96097.0,95741.63,95384.23,600.88787802,2026-01-13 23:00:00+00:00
BTC-USD,main,95139.33,95622.9,95385.59,95208.02,423.48564937,2026-01-14 00:00:00+00:00
BTC-USD,main,95085.51,95550.01,95208.02,95217.65,463.63944204,2026-01-14 01:00:00+00:00
BTC-USD,main,95150.63,95540.0,95216.0,95319.35,480.63628287,2026-01-14 02:00:00+00:00
BTC-USD,main,95235.95,95691.95,95319.35,95683.13,325.8639322,2026-01-14 03:00:00+00:00
BTC-USD,main,95189.18,95759.8,95683.14,95208.86,273.03653332,2026-01-14 04:00:00+00:00
BTC-USD,main,94945.9,95262.8,95208.85,95000.01,634.23383414,2026-01-14 05:00:00+00:00
BTC-USD,main,94518.63,95016.38,95000.01,95004.73,361.95492468,2026-01-14 06:00:00+00:00
BTC-USD,main,94833.96,95217.85,95004.72,95186.89,298.34541205,2026-01-14 07:00:00+00:00
BTC-USD,main,94858.01,95298.66,95186.9,94862.0,177.54166484,2026-01-14 08:00:00+00:00
BTC-USD,main,94850.07,95175.54,94867.61,95068.07,287.84016375,2026-01-14 09:00:00+00:00
BTC-USD,main,94862.01,95281.33,95068.07,95066.01,288.58979704,2026-01-14 10:00:00+00:00
BTC-USD,main,94687.22,95080.37,95064.61,94756.03,210.74237757,2026-01-14 11:00:00+00:00
BTC-USD,main,94634.0,95125.56,94755.02,95034.55,291.64843029,2026-01-14 12:00:00+00:00
BTC-USD,main,94851.17,95206.93,95034.56,94958.6,460.90239719,2026-01-14 13:00:00+00:00
