feature,vif
low,53877.96966397669
high,81003.44714155294
Open,66537.77441538004
close,78552.7069996403
volume,3.151133175047488
supply,1.240667064815499e-17
eth_daily_tx,3.771909544793799
google_trend,2.265128981480234
market_cap,6.660735359130564e-19
btc_open,152475.48814666012
btc_high,165735.18058162293
btc_low,132860.06651402847
btc_close,177938.92564199265
btc_volume,2.9868097887945027
eth_rolling_beta,1.36530924018011
eth_return,2.8485516251098852
btc_return,2.945733267495349
