ticker,caller,low,high,Open,close,volume,timestamp
BTC-USD,main,279.59,280.16,280.06,280.01,90.6522,2015-08-08 00:00:00+00:00
BTC-USD,main,279.41,280.05,279.9,279.8,168.50335565,2015-08-08 01:00:00+00:00
BTC-USD,main,278.8,280.08,279.8,279.36,220.88571881,2015-08-08 02:00:00+00:00
BTC-USD,main,279.13,279.83,279.33,279.45,134.02259706,2015-08-08 03:00:00+00:00
BTC-USD,main,278.77,279.67,279.55,278.77,173.97074574,2015-08-08 04:00:00+00:00
BTC-USD,main,278.23,278.86,278.76,278.56,103.13327203,2015-08-08 05:00:00+00:00
BTC-USD,main,278.05,278.59,278.56,278.1,123.6595,2015-08-08 06:00:00+00:00
BTC-USD,main,278.05,279.08,278.11,278.4,82.1805,2015-08-08 07:00:00+00:00
BTC-USD,main,278.37,278.71,278.48,278.56,69.4315,2015-08-08 08:00:00+00:00
BTC-USD,main,278.39,278.69,278.56,278.5,58.0192,2015-08-08 09:00:00+00:00
BTC-USD,main,278.42,278.58,278.44,278.51,55.496049,2015-08-08 10:00:00+00:00
BTC-USD,main,277.05,278.52,278.52,277.06,126.13086042,2015-08-08 11:00:00+00:00
BTC-USD,main,272.46,277.05,277.05,272.79,488.25027945,2015-08-08 12:00:00+00:00
BTC-USD,main,267.43,273.5,272.79,267.89,655.16798053,2015-08-08 13:00:00+00:00
BTC-USD,main,267.73,270.0,267.86,269.9,607.59950572,2015-08-08 14:00:00+00:00
BTC-USD,main,269.3,270.27,269.89,269.3,399.40521828,2015-08-08 15:00:00+00:00
BTC-USD,main,268.75,271.78,269.46,270.3,327.5148076,2015-08-08 16:00:00+00:00
BTC-USD,main,270.15,271.06,270.29,270.35,300.8609,2015-08-08 17:00:00+00:00
BTC-USD,main,268.71,270.42,270.33,269.0,280.53867475,2015-08-08 18:00:00+00:00
BTC-USD,main,268.74,269.14,269.02,269.11,203.26536,2015-08-08 19:00:00+00:00
BTC-USD,main,268.96,269.28,269.13,269.21,203.04413226,2015-08-08 20:00:00+00:00
BTC-USD,main,266.63,269.2,269.2,266.66,259.70945317,2015-08-08 21:00:00+00:00
BTC-USD,main,263.91,267.08,266.73,264.79,432.48179673,2015-08-08 22:00:00+00:00
BTC-USD,main,260.07,265.1,264.63,262.02,521.52582944,2015-08-08 23:00:00+00:00
BTC-USD,main,260.97,263.59,262.02,262.51,490.28506333,2015-08-09 00:00:00+00:00
BTC-USD,main,262.33,264.1,262.5,263.04,400.58008317,2015-08-09 01:00:00+00:00
BTC-USD,main,262.12,263.47,262.93,262.33,157.27826917,2015-08-09 02:00:00+00:00
BTC-USD,main,262.27,264.43,262.33,263.24,284.30172463,2015-08-09 03:00:00+00:00
BTC-USD,main,262.01,263.63,263.63,262.02,162.6644,2015-08-09 04:00:00+00:00
BTC-USD,main,262.01,263.34,262.02,263.33,202.01035355,2015-08-09 05:00:00+00:00
BTC-USD,main,263.01,263.89,263.33,263.89,125.79779553,2015-08-09 06:00:00+00:00
BTC-USD,main,263.0,263.97,263.59,263.0,162.37482,2015-08-09 07:00:00+00:00
BTC-USD,main,263.0,263.99,263.01,263.08,161.91892258,2015-08-09 08:00:00+00:00
BTC-USD,main,263.07,265.73,263.57,265.3,74.91160655,2015-08-09 09:00:00+00:00
BTC-USD,main,264.76,265.9,265.3,265.15,43.82460655,2015-08-09 10:00:00+00:00
BTC-USD,main,265.15,267.46,265.15,266.29,300.06124292,2015-08-09 11:00:00+00:00
BTC-USD,main,266.1,267.41,266.34,266.6,107.1904,2015-08-09 12:00:00+00:00
BTC-USD,main,266.59,268.47,266.59,268.27,209.64235533,2015-08-09 13:00:00+00:00
BTC-USD,main,267.85,268.26,268.26,267.94,103.95110506,2015-08-09 14:00:00+00:00
BTC-USD,main,265.84,268.12,267.92,266.62,154.112407,2015-08-09 15:00:00+00:00
BTC-USD,main,265.81,267.32,267.1,266.32,417.5036,2015-08-09 16:00:00+00:00
BTC-USD,main,266.1,267.32,266.42,267.04,292.47643,2015-08-09 17:00:00+00:00
BTC-USD,main,265.77,267.03,266.41,265.82,157.6620239,2015-08-09 18:00:00+00:00
BTC-USD,main,262.7,266.45,266.3,264.2,204.2549055,2015-08-09 19:00:00+00:00
